Statistics South Africa
Descriptive_Electoral_Wards
Table 1
Geography by Gender
 for Person weighted
,"Male","Female","Total"
"21505008: Ward 8",3633,4242,7875
"21505009: Ward 9",4830,5595,10428
"21505010: Ward 10",5091,5772,10863
"21505011: Ward 11",6141,7104,13245
"21505012: Ward 12",4977,5652,10629
"21505013: Ward 13",3945,4545,8490
"21505014: Ward 14",3897,4434,8331
"21505015: Ward 15",5415,6465,11883
"21505016: Ward 16",3624,4521,8145
"21505017: Ward 17",4641,5625,10266
"21505018: Ward 18",3735,4563,8295
"21505019: Ward 19",5070,6027,11094
"21505020: Ward 20",5325,6255,11583
"21505021: Ward 21",3531,3876,7404
"21505022: Ward 22",4995,5784,10782
"21505023: Ward 23",4386,5019,9405
"21505024: Ward 24",3498,3906,7407
"21505025: Ward 25",4014,4545,8559
"21505026: Ward 26",5223,6162,11385
"21505027: Ward 27",2988,3609,6597
"21505028: Ward 28",3903,4440,8343
"21505029: Ward 29",4893,5319,10212
"21505030: Ward 30",4818,5553,10368
"21505031: Ward 31",4053,4734,8787
"21506001: Ward 1",3318,4071,7392
"21506002: Ward 2",3294,3393,6687
"21506003: Ward 3",3663,4230,7893
"21506004: Ward 4",3369,3630,6999
"21506005: Ward 5",2934,3261,6198
"21506006: Ward 6",4689,5889,10578
"21506007: Ward 7",2583,2919,5502
"21506008: Ward 8",3915,4482,8397
"21506009: Ward 9",2586,2985,5577
"21506010: Ward 10",2883,3459,6342
"21506011: Ward 11",3450,4161,7611
"21506012: Ward 12",3804,4554,8361
"21506013: Ward 13",3744,4461,8202
"21506014: Ward 14",3864,4302,8163
"21506015: Ward 15",4080,5001,9081
"21506016: Ward 16",3405,4035,7440
"21506017: Ward 17",3894,4311,8205
"21506018: Ward 18",3333,3807,7137
"21506019: Ward 19",3270,3615,6882
"21506020: Ward 20",2718,3027,5748
"21506021: Ward 21",2796,3342,6138
"21506022: Ward 22",2808,3120,5931
"21506023: Ward 23",3453,3756,7209
"21506024: Ward 24",3567,4134,7698
"21506025: Ward 25",3402,4032,7434
"21506026: Ward 26",2607,2814,5421
"21507001: Ward 1",4908,5901,10812
"21507002: Ward 2",4512,5709,10221
"21507003: Ward 3",5544,6963,12507
"21507004: Ward 4",7047,8847,15894
"21507005: Ward 5",3567,4956,8520
"21507006: Ward 6",5664,6531,12195
"21507007: Ward 7",945,1071,2016
"21507008: Ward 8",6438,5868,12303
"21507009: Ward 9",5943,7002,12942
"21507010: Ward 10",5280,5916,11196
"21507011: Ward 11",10503,12984,23487
"21507012: Ward 12",6462,7749,14208
"21507013: Ward 13",4455,5409,9864
"21507014: Ward 14",5517,6201,11718
"21507015: Ward 15",5151,5955,11109
"21507016: Ward 16",6324,7011,13335
"21507017: Ward 17",5436,6336,11775
"21507018: Ward 18",5652,6645,12297
"21507019: Ward 19",6498,7413,13911
"21507020: Ward 20",6897,8130,15030
"21507021: Ward 21",6417,7584,14001
"21507022: Ward 22",6633,7737,14367
"21507023: Ward 23",7248,8262,15513
"21507024: Ward 24",7050,8841,15891
"21507025: Ward 25",8862,11109,19974
"21507026: Ward 26",5826,6684,12513
"21507027: Ward 27",5730,6717,12444
"21507028: Ward 28",5598,6423,12024
"21507029: Ward 29",6273,7476,13749
"21507030: Ward 30",5841,6915,12756
"21507031: Ward 31",5589,6537,12126
"21507032: Ward 32",6723,7437,14160
"21507033: Ward 33",6129,6864,12996
"21507034: Ward 34",5514,6210,11724
"21507035: Ward 35",5769,6357,12129
"24401001: Ward 1",2820,3615,6435
"24401002: Ward 2",6234,7341,13572
"24401003: Ward 3",3534,4281,7812
"24401004: Ward 4",3702,4623,8322
"24401005: Ward 5",3855,4617,8472
"24401006: Ward 6",3588,3810,7398
"24401007: Ward 7",3384,4230,7611
"24401008: Ward 8",4443,5301,9747
"24401009: Ward 9",3066,3537,6603
"24401010: Ward 10",4233,4629,8865
"24401011: Ward 11",5349,6075,11421
"24401012: Ward 12",3051,3576,6627
"24401013: Ward 13",3807,4434,8241
"24401014: Ward 14",2841,3744,6588
"24401015: Ward 15",3144,3570,6714
"24401016: Ward 16",2964,3441,6405
"24401017: Ward 17",4074,4434,8511
"24401018: Ward 18",3453,3798,7251
"24401019: Ward 19",1932,2193,4125
"24401020: Ward 20",5136,6681,11817
"24401021: Ward 21",3135,4005,7143
"24401022: Ward 22",2964,3324,6288
"24401023: Ward 23",2898,3444,6345
"24401024: Ward 24",2559,3012,5568
"24401025: Ward 25",3222,3846,7068
"24401026: Ward 26",4290,4605,8895
"24402001: Ward 1",3609,4071,7683
"24402002: Ward 2",2661,3180,5844
"24402003: Ward 3",4206,4992,9195
"24402004: Ward 4",3552,4107,7656
"24402005: Ward 5",2685,3003,5691
"24402006: Ward 6",2742,3426,6165
"24402007: Ward 7",3669,4368,8037
"24402008: Ward 8",2973,3606,6579
"24402009: Ward 9",2733,3273,6006
"24402010: Ward 10",3342,4125,7467
